document_id,avg_jaccard,avg_partial,length_chars,length_words,entity_count,length_quartile
ru-10,0.35620300751879697,0.6056547619047619,5085,686,4,Q4 (длинные)
ru-1000,0.6066666666666667,0.8333333333333333,777,102,5,Q2
ru-1001,0.7083333333333333,0.9166666666666666,638,87,4,Q1 (короткие)
ru-1002,0.75,0.75,315,42,4,Q1 (короткие)
ru-1003,0.75,0.9375,400,53,4,Q1 (короткие)
ru-1004,0.6232142857142857,0.75,1022,147,4,Q3
ru-1006,0.64,0.9,783,104,5,Q2
ru-1011,0.9,1.0,1542,213,5,Q4 (длинные)
ru-1017,0.44000000000000006,0.6666666666666666,875,117,5,Q3
